Product_name,Price,Rating,No_of_RnR,No_of_ratings,No_of_reviews,Brand,RAM,ROM,Battery,Display_Size,Camera
"IQOO Z11x 5G (Prismatic Green, 128 GB)",21659,4.4,464 Ratings & 40 Reviews,464,40,IQOO,6 GB,128 GB ROM,7200 mAh,6.7 inch,50MP Rear Camera
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 128 GB)",22999,4.4,"1,19,085 Ratings & 7,005 Reviews",119085,7005,MOTOROLA,8 GB,128 GB ROM,5500 mAh,6.67 inch,50MP + 13MP | 32MP Front Camera
"IQOO 15R 5G (Dark Knight, 256 GB)",46380,4.7,100 Ratings & 15 Reviews,100,15,IQOO,8 GB,256 GB ROM,7600 mAh,6.59 inch,50MP Rear Camera
"IQOO Z11x 5G (Titan Black, 128 GB)",23368,4.4,692 Ratings & 61 Reviews,692,61,IQOO,8 GB,128 GB ROM,7200 mAh,6.7 inch,50MP Rear Camera
"OnePlus Nord CE6 Lite (Hyper Black, 128 GB)",23919,3.4,10 Ratings & 2 Reviews,10,2,OnePlus,6 GB,128 GB ROM,7000 mAh,6.72 inch,50MP Rear Camera | 50MP Front Camera
"REDMI Note 15 SE 5G Snapdragon (Crimson Reserve, 128 GB)",22999,4.3,"1,456 Ratings & 166 Reviews",1456,166,REDMI,6 GB,128 GB ROM,5800 mAh,6.77 inch,50MP Rear Camera | 20MP Front Camera
"IQOO Z11x 5G (Prismatic Green, 128 GB)",23462,4.4,692 Ratings & 61 Reviews,692,61,IQOO,8 GB,128 GB ROM,7200 mAh,6.7 inch,50MP Rear Camera
"REDMI Note 15 SE 5G (Crimson Reserve, 256 GB)",26999,4.3,722 Ratings & 85 Reviews,722,85,REDMI,8 GB,256 GB ROM,5800 mAh,6.77 inch,50MP Rear Camera | 20MP Front Camera
"IQOO 15R 5G (Triumph Silver, 256 GB)",45988,4.7,100 Ratings & 15 Reviews,100,15,IQOO,8 GB,256 GB ROM,7600 mAh,6.59 inch,50MP Rear Camera
"realme P4x 5G (Matte Silver, 256 GB)",20999,4.3,"5,033 Ratings & 383 Reviews",5033,383,realme,8 GB,256 GB ROM,7000 mAh,6.72 inch,50MP + 2MP | 8MP Front Camera
"vivo T4 Pro 5G (Blaze Gold, 256 GB)",29999,4.5,"19,384 Ratings & 1,493 Reviews",19384,1493,vivo,8 GB,256 GB ROM,6500 mAh,6.77 inch,50MP + 2MP + 50MP | 32MP Front Camera
"IQOO Neo 10 (Alpine White, 256 GB)",38490,4.5,"1,678 Ratings & 130 Reviews",1678,130,IQOO,8 GB,256 GB ROM,7000 mAh,6.78 inch,50MP Rear Camera
"realme 15 Pro 5G (Flowing Silver, 512 GB)",34999,4.4,"5,546 Ratings & 426 Reviews",5546,426,realme,12 GB,512 GB ROM,7000 mAh,6.8 inch,50MP + 50MP | 50MP Front Camera
"MOTOROLA Edge 70 Fusion (Pantone SILHOUETTE, 128 GB)",26999,4.4,"7,360 Ratings & 803 Reviews",7360,803,MOTOROLA,8 GB,128 GB ROM,7000 mAh,6.8 inch,50MP + 13MP | 32MP Front Camera
"realme P4 5G (Steel Grey, 128 GB)",21999,4.4,"17,652 Ratings & 1,238 Reviews",17652,1238,realme,8 GB,128 GB ROM,7000 mAh,6.77 inch,50MP + 8MP | 16MP Front Camera
"realme P4 Power 5G (TransOrange, 128 GB)",25999,4.5,"4,482 Ratings & 408 Reviews",4482,408,realme,8 GB,128 GB ROM,10001 mAh,6.8 inch,
"vivo T5x 5G (Cyber Green, 256 GB)",26999,4.4,"8,730 Ratings & 712 Reviews",8730,712,vivo,8 GB,256 GB ROM,7200 mAh,6.76 inch,50MP + 2MP | 32MP Front Camera
"realme 15 Pro 5G (Velvet Green, 256 GB)",30999,4.3,"9,458 Ratings & 850 Reviews",9458,850,realme,8 GB,256 GB ROM,7000 mAh,6.8 inch,50MP + 50MP | 50MP Front Camera
"MOTOROLA Edge 70 Fusion (Pantone SILHOUETTE, 256 GB)",32999,4.3,"1,525 Ratings & 147 Reviews",1525,147,MOTOROLA,12 GB,256 GB ROM,7000 mAh,6.8 inch,50MP + 13MP | 32MP Front Camera
"REDMI Note 15 SE 5G (Frosted White, 256 GB)",26999,4.3,722 Ratings & 85 Reviews,722,85,REDMI,8 GB,256 GB ROM,5800 mAh,6.77 inch,50MP Rear Camera | 20MP Front Camera
"OPPO K14 5G (Prism Violet, 256 GB)",23999,4.2,313 Ratings & 37 Reviews,313,37,OPPO,8 GB,256 GB ROM,7000 mAh,6.75 inch,50MP Rear Camera | 8MP Front Camera
"Samsung M36 5G (Serene Green / Light Green, 128 GB)",20499,4.1,753 Ratings & 53 Reviews,753,53,Samsung,8 GB,128 GB ROM,5000 mAh,6.7 inch,50MP Rear Camera
"IQOO Z10R 5G (Moonstone, 256 GB)",29999,4.3,847 Ratings & 57 Reviews,847,57,IQOO,12 GB,256 GB ROM,5700 mAh,6.77 inch,50MP Rear Camera
"Apple iPhone 17 (Black, 256 GB)",82900,4.6,"11,915 Ratings & 756 Reviews",11915,756,Apple,,256 GB ROM,,6.3 inch,48MP + 48MP | 18MP Front Camera
"realme P4 Power 5G (TransOrange, 256 GB)",27999,4.5,"4,482 Ratings & 408 Reviews",4482,408,realme,8 GB,256 GB ROM,10001 mAh,6.8 inch,
"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 128 GB)",22999,4.4,"1,19,085 Ratings & 7,005 Reviews",119085,7005,MOTOROLA,8 GB,128 GB ROM,5500 mAh,6.67 inch,50MP + 13MP | 32MP Front Camera
"vivo T5x 5G (Cyber Green, 128 GB)",22999,4.3,"6,922 Ratings & 460 Reviews",6922,460,vivo,6 GB,128 GB ROM,7200 mAh,6.76 inch,50MP + 2MP | 32MP Front Camera
"POCO M8 Charger in the Box (Frost Silver, 256 GB)",23999,4.3,"1,203 Ratings & 117 Reviews",1203,117,POCO,8 GB,256 GB ROM,5520 mAh,6.77 inch,50MP Rear Camera | 20MP Front Camera
"Nothing Phone (4a) (White, 256 GB)",37999,4.4,"3,934 Ratings & 414 Reviews",3934,414,Nothing,8 GB,256 GB ROM,5400 mAh,6.78 inch,50MP + 50MP + 8MP | 32MP Front Camera
"realme P4 5G (Steel Grey, 128 GB)",20999,4.4,"21,182 Ratings & 1,423 Reviews",21182,1423,realme,6 GB,128 GB ROM,7000 mAh,6.77 inch,50MP + 8MP | 16MP Front Camera
"realme P4x 5G (Elegant Pink, 128 GB)",20999,4.3,"5,033 Ratings & 383 Reviews",5033,383,realme,8 GB,128 GB ROM,7000 mAh,6.72 inch,50MP + 2MP | 8MP Front Camera
"vivo X200T (Seaside Lilac, 512 GB)",69999,4.6,"3,321 Ratings & 651 Reviews",3321,651,vivo,12 GB,512 GB ROM,6200 mAh,6.67 inch,50MP + 50MP + 50MP | 32MP Front Camera
"Samsung Galaxy M56 5G (Light Green, 128 GB)",24758,4.4,"2,220 Ratings & 162 Reviews",2220,162,Samsung,8 GB,128 GB ROM,5000 mAh,6.7 inch,50MP + 50MP + 8MP | 12MP + 2MP Dual Front Camera
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",26999,4.4,"44,876 Ratings & 2,639 Reviews",44876,2639,MOTOROLA,12 GB,256 GB ROM,5500 mAh,6.67 inch,50MP + 13MP | 32MP Front Camera
"LAVA Agni 3 5G (Pristine Glass, 128 GB)",20999,3.7,354 Ratings & 35 Reviews,354,35,LAVA,8 GB,128 GB ROM,5000 mAh,6.7 inch,50MP Rear Camera
"vivo T4R 5G (Arctic White, 128 GB)",22999,4.4,"49,639 Ratings & 2,797 Reviews",49639,2797,vivo,8 GB,128 GB ROM,5700 mAh,6.77 inch,50MP (OIS) + 2MP | 32MP Front Camera
"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)",49999,4.6,"57,318 Ratings & 3,724 Reviews",57318,3724,Samsung,8 GB,128 GB ROM,4000 mAh,6.2 inch,50MP + 12MP | 12MP Front Camera
"MOTOROLA Edge 70 Fusion (Pantone COUNTRY AIR, 128 GB)",26999,4.4,"7,360 Ratings & 803 Reviews",7360,803,MOTOROLA,8 GB,128 GB ROM,7000 mAh,6.8 inch,50MP + 13MP | 32MP Front Camera
"Samsung Galaxy A17 5G (Blue, 128 GB)",20999,4.3,"1,083 Ratings & 84 Reviews",1083,84,Samsung,8 GB,128 GB ROM,5000 mAh,6.7 inch,50MP + 5MP + 2MP | 13MP Front Camera
"IQOO Z10R 5G (Aquamarine, 128 GB)",23140,4.4,"5,229 Ratings & 308 Reviews",5229,308,IQOO,8 GB,128 GB ROM,5700 mAh,6.77 inch,50MP Rear Camera
"Infinix Note 50s 5G+ 45W Charger In the Box & AI (Marine Drift, 128 GB)",21999,4.3,"23,008 Ratings & 2,036 Reviews",23008,2036,Infinix,8 GB,128 GB ROM,5500 mAh,6.78 inch,64MP + 2MP | 13MP Front Camera
"Nothing Phone (4a) (White, 128 GB)",34999,4.4,"3,934 Ratings & 414 Reviews",3934,414,Nothing,8 GB,128 GB ROM,5400 mAh,6.78 inch,50MP + 50MP + 8MP | 32MP Front Camera
"vivo T5x 5G (Star Silver, 128 GB)",22999,4.3,"6,922 Ratings & 460 Reviews",6922,460,vivo,6 GB,128 GB ROM,7200 mAh,6.76 inch,50MP + 2MP | 32MP Front Camera
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 128 GB)",22999,4.4,"73,321 Ratings & 4,921 Reviews",73321,4921,OPPO,8 GB,128 GB ROM,7000 mAh,6.67 inch,50MP + 2MP | 16MP Front Camera
"vivo X200T (Stellar Black, 256 GB)",59999,4.6,"3,321 Ratings & 651 Reviews",3321,651,vivo,12 GB,256 GB ROM,6200 mAh,6.67 inch,50MP + 50MP + 50MP | 32MP Front Camera
"OnePlus Nord CE6 (Pitch Black, 128 GB)",34999,4.7,20 Ratings & 3 Reviews,20,3,OnePlus,8 GB,128 GB ROM,8000 mAh,6.78 inch,50MP Rear Camera | 2MP Front Camera
"OPPO K14 5G (Prism Violet, 256 GB)",21999,4.3,793 Ratings & 56 Reviews,793,56,OPPO,6 GB,256 GB ROM,7000 mAh,6.75 inch,50MP Rear Camera | 8MP Front Camera
"OnePlus Nord CE6 Lite (Hyper Black, 128 GB)",26448,4.2,6 Ratings & 1 Reviews,6,1,OnePlus,8 GB,128 GB ROM,7000 mAh,6.72 inch,50MP Rear Camera | 50MP Front Camera
"OnePlus Nord CE6 Lite (Vivid Mint, 128 GB)",23999,3.4,10 Ratings & 2 Reviews,10,2,OnePlus,6 GB,128 GB ROM,7000 mAh,6.72 inch,50MP Rear Camera | 50MP Front Camera
